"lesson_id","filename","script_text","voice_direction"
"lessons/RI.2.8","S1a","When an author makes a point, they also give reasons.",""
"lessons/RI.2.8","S1b","The reasons back up the point.",""
"lessons/RI.2.8","S1c","Spotting them makes you a strong reader!",""
"lessons/RI.2.8","S2a","Point: you should drink water every day.",""
"lessons/RI.2.8","S2b","Reason one: it helps your body work.",""
"lessons/RI.2.8","S2c","Reason two: it keeps you from getting tired.",""
"lessons/RI.2.8","S2d","Two reasons support the point!",""
"lessons/RI.2.8","S3a","Point: riding bikes is fun and healthy.",""
"lessons/RI.2.8","S3b","Reasons? Exercise. Fresh air. Going places fast!",""
"lessons/RI.2.8","S3c","The reasons make the point stronger.",""
"lessons/RI.2.8","S4a","Here is a helpful trick.",""
"lessons/RI.2.8","S4b","Watch for words like because, since, and for example. Those signal reasons!",""
"lessons/RI.2.8","S4c","Now you are ready to spot author's reasons!",""
