Filename,Prompt
default_0.png,"Character portrait of a cheerful young child with a big warm smile, round face, rosy cheeks, bright sparkling eyes, messy brown hair with a yellow headband. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors, solid pastel yellow background, centered bust portrait, kid-friendly, no text"
default_1.png,"Character portrait of an adorable cartoon fox with big expressive amber eyes, fluffy orange fur, white chest patch, pointy ears with white tips, friendly smile. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors, solid pastel orange background, centered bust portrait, kid-friendly, no text"
default_2.png,"Character portrait of a cute playful cartoon cat with big round green eyes, soft gray fur, pink nose, little whiskers, perky ears, sweet gentle smile. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors, solid pastel blue background, centered bust portrait, kid-friendly, no text"
default_3.png,"Character portrait of a magical cartoon butterfly character with big sparkling purple eyes, colorful iridescent wings in blue pink and purple, small cute antennae, friendly face. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors, solid pastel lavender background, centered bust portrait, kid-friendly, no text"
default_4.png,"Character portrait of a friendly cartoon teddy bear with big round brown eyes, fluffy light brown fur, round ears, cute button nose, warm cuddly smile. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors, solid pastel green background, centered bust portrait, kid-friendly, no text"
avatar_fox.png,"Character portrait of a cool cartoon fox wearing a red scarf, confident smirk, sleek orange fur, sharp but friendly amber eyes, one ear slightly tilted. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors, solid pastel red background, centered bust portrait, kid-friendly, no text"
avatar_owl.png,"Character portrait of a wise cartoon owl wearing small round glasses, big golden eyes, brown and cream feathers, scholarly expression, small tuft of feathers on head like a professor. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors, solid pastel teal background, centered bust portrait, kid-friendly, no text"
avatar_unicorn.png,"Character portrait of a magical cartoon unicorn with a sparkling rainbow horn, big dreamy purple eyes, flowing pastel rainbow mane, white coat, tiny stars around the horn. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors, solid pastel pink background, centered bust portrait, kid-friendly, no text"
avatar_dragon.png,"Character portrait of a friendly baby cartoon dragon with big round emerald green eyes, soft green scales, tiny wings, small puffs of smoke from nostrils, happy goofy grin. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors, solid pastel mint background, centered bust portrait, kid-friendly, no text"
avatar_astronaut.png,"Character portrait of a young cartoon kid astronaut in a white space helmet with visor up, big excited brown eyes, huge smile, stars reflected in helmet, space suit collar visible. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors, solid dark blue background with tiny stars, centered bust portrait, kid-friendly, no text"
avatar_robot.png,"Character portrait of a friendly cartoon robot with big round glowing blue eyes, shiny silver metal head, small antenna on top, LED smile on screen face, bolts on cheeks. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors, solid pastel gray background, centered bust portrait, kid-friendly, no text"
avatar_rabbit.png,"Character portrait of a speedy cute cartoon rabbit with big bright blue eyes, soft white fur, tall floppy ears, pink inner ears, energetic happy expression, tiny buck teeth. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors, solid pastel sky blue background, centered bust portrait, kid-friendly, no text"
avatar_fish.png,"Character portrait of a colorful tropical cartoon fish with big round eyes, bright blue and yellow scales, flowing fancy fins, bubbly cheerful expression, tiny bubbles around. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors, solid pastel aqua background, centered bust portrait, kid-friendly, no text"
avatar_phoenix.png,"Character portrait of an adorable baby cartoon phoenix with big bright orange eyes, fluffy flame-colored feathers in red orange and gold, tiny fire wings, cute curious expression. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors, solid pastel warm yellow background, centered bust portrait, kid-friendly, no text"
avatar_pirate.png,"Character portrait of a young cartoon pirate kid with a friendly grin, wearing a black pirate hat with skull crossbones, eye patch pushed up on forehead, messy red hair, freckles. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors, solid pastel sand background, centered bust portrait, kid-friendly, no text"
avatar_ninja.png,"Character portrait of a young cartoon ninja kid with big determined dark eyes peeking above a dark blue ninja mask, black headband with silver plate, confident expression. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors, solid pastel dark purple background, centered bust portrait, kid-friendly, no text"
avatar_leopard.png,"Character portrait of a majestic cartoon snow leopard with big icy blue eyes, thick fluffy white and gray spotted fur, pink nose, serene gentle expression. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors, solid pastel ice blue background, centered bust portrait, kid-friendly, no text"
avatar_dino.png,"Character portrait of a friendly cartoon T-Rex dinosaur with big goofy round eyes, short stubby arms, green scales, tiny sharp teeth in a huge smile, small spikes on head. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors, solid pastel lime green background, centered bust portrait, kid-friendly, no text"
avatar_pixel.png,"Character portrait of a retro pixel-art style cartoon game character kid with blocky features, big square eyes, colorful hair in pink and blue, wearing a gaming headset, 8-bit inspired but smooth. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors, solid pastel neon green background, centered bust portrait, kid-friendly, no text"
avatar_lion.png,"Character portrait of a regal cartoon lion with a magnificent golden mane, big warm amber eyes, wearing a small golden crown tilted playfully, proud but friendly royal smile. Bright 2D cartoon illustration, bold clean outlines, vibrant saturated colors, solid pastel gold background, centered bust portrait, kid-friendly, no text"
