"lesson_id","filename","script_text","voice_direction"
"2nd-grade/L.2.3","L.2.3-Q1","If you are writing to a teacher, which sounds best?",""
"2nd-grade/L.2.3","L.2.3-Q1-hint","Teachers appreciate formal words!",""
"2nd-grade/L.2.3","L.2.3-Q2","Which word is most formal?",""
"2nd-grade/L.2.3","L.2.3-Q2-hint","Assist is a formal way to say help.",""
"2nd-grade/L.2.3","L.2.3-Q3","Which sentence sounds too casual for a school essay?",""
"2nd-grade/L.2.3","L.2.3-Q3-hint","Yeah and super cool sound like talking with friends.",""
"2nd-grade/L.2.3","L.2.3-Q4","Which word is a stronger way to say big?",""
"2nd-grade/L.2.3","L.2.3-Q4-hint","Enormous means very, very big!",""
"2nd-grade/L.2.3","L.2.3-Q5","Why does word choice matter?",""
"2nd-grade/L.2.3","L.2.3-Q5-hint","Each word has a tone and feeling!",""
