"lesson_id","filename","script_text","voice_direction"
"lessons/RL.1.10","S1a","Reading a little every day is like a superpower.",""
"lessons/RL.1.10","S1b","The more stories and poems you read, the stronger your reading gets.",""
"lessons/RL.1.10","S1c","Let us see how to read all year long.",""
"lessons/RL.1.10","S2a","Pick stories about different things.",""
"lessons/RL.1.10","S2b","Funny ones. Scary ones. Adventure ones. Poems too!",""
"lessons/RL.1.10","S2c","New stories teach you new words and new ideas.",""
"lessons/RL.1.10","S3a","Sometimes a story has tricky words or long sentences.",""
"lessons/RL.1.10","S3b","That is a good thing! Growing readers try hard books.",""
"lessons/RL.1.10","S3c","When you need help, ask a grown-up or friend. That is smart!",""
"lessons/RL.1.10","S4a","Here is a helpful trick.",""
"lessons/RL.1.10","S4b","Pick a time to read every day. Bedtime, after lunch, or right when you wake up.",""
"lessons/RL.1.10","S4c","Now you are ready to enjoy stories all year long!",""
