"lesson_id","filename","script_text","voice_direction"
"lessons/L.2.2","S1a","Two tiny marks do big jobs in sentences.",""
"lessons/L.2.2","S1b","Apostrophes and commas.",""
"lessons/L.2.2","S1c","Let us learn both!",""
"lessons/L.2.2","S2a","Add an apostrophe and an S to show owning.",""
"lessons/L.2.2","S2b","The dog's bone. The girl's book.",""
"lessons/L.2.2","S3a","An apostrophe can also replace missing letters.",""
"lessons/L.2.2","S3b","Can not becomes can't. Do not becomes don't.",""
"lessons/L.2.2","S4a","Commas separate items in a list.",""
"lessons/L.2.2","S4b","I like apples, bananas, and grapes!",""
"lessons/L.2.2","S4c","Now you are ready to use apostrophes and commas!",""
